0.521,0.44025,0.3895,0.3585,0.3425,0.33575,0.34975,0.408,0.50025,0.5835,0.664,0.70225,0.7035,0.69675,0.68425,0.67875,0.699,0.70225,0.67825,0.6585,0.63175,0.61975,0.589,0.5535
0.521,0.44025,0.3895,0.3585,0.3425,0.33575,0.34975,0.408,0.50025,0.5835,0.664,0.70225,0.7035,0.69675,0.68425,0.67875,0.699,0.70225,0.67825,0.6585,0.63175,0.61975,0.589,0.5535
0.521,0.44025,0.3895,0.3585,0.3425,0.33575,0.34975,0.408,0.50025,0.5835,0.664,0.70225,0.7035,0.69675,0.68425,0.67875,0.699,0.70225,0.67825,0.6585,0.63175,0.61975,0.589,0.5535
0.521,0.44025,0.3895,0.3585,0.3425,0.33575,0.34975,0.408,0.50025,0.5835,0.664,0.70225,0.7035,0.69675,0.68425,0.67875,0.699,0.70225,0.67825,0.6585,0.63175,0.61975,0.589,0.5535
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.521,0.44025,0.3895,0.3585,0.3425,0.33575,0.34975,0.408,0.50025,0.5835,0.664,0.70225,0.7035,0.69675,0.68425,0.67875,0.699,0.70225,0.67825,0.6585,0.63175,0.61975,0.589,0.5535
0.521,0.44025,0.3895,0.3585,0.3425,0.33575,0.34975,0.408,0.50025,0.5835,0.664,0.70225,0.7035,0.69675,0.68425,0.67875,0.699,0.70225,0.67825,0.6585,0.63175,0.61975,0.589,0.5535
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.521,0.44025,0.3895,0.3585,0.3425,0.33575,0.34975,0.408,0.50025,0.5835,0.664,0.70225,0.7035,0.69675,0.68425,0.67875,0.699,0.70225,0.67825,0.6585,0.63175,0.61975,0.589,0.5535
0.521,0.44025,0.3895,0.3585,0.3425,0.33575,0.34975,0.408,0.50025,0.5835,0.664,0.70225,0.7035,0.69675,0.68425,0.67875,0.699,0.70225,0.67825,0.6585,0.63175,0.61975,0.589,0.5535
0.521,0.44025,0.3895,0.3585,0.3425,0.33575,0.34975,0.408,0.50025,0.5835,0.664,0.70225,0.7035,0.69675,0.68425,0.67875,0.699,0.70225,0.67825,0.6585,0.63175,0.61975,0.589,0.5535
0.521,0.44025,0.3895,0.3585,0.3425,0.33575,0.34975,0.408,0.50025,0.5835,0.664,0.70225,0.7035,0.69675,0.68425,0.67875,0.699,0.70225,0.67825,0.6585,0.63175,0.61975,0.589,0.5535
0.521,0.44025,0.3895,0.3585,0.3425,0.33575,0.34975,0.408,0.50025,0.5835,0.664,0.70225,0.7035,0.69675,0.68425,0.67875,0.699,0.70225,0.67825,0.6585,0.63175,0.61975,0.589,0.5535
0.521,0.44025,0.3895,0.3585,0.3425,0.33575,0.34975,0.408,0.50025,0.5835,0.664,0.70225,0.7035,0.69675,0.68425,0.67875,0.699,0.70225,0.67825,0.6585,0.63175,0.61975,0.589,0.5535
0.521,0.44025,0.3895,0.3585,0.3425,0.33575,0.34975,0.408,0.50025,0.5835,0.664,0.70225,0.7035,0.69675,0.68425,0.67875,0.699,0.70225,0.67825,0.6585,0.63175,0.61975,0.589,0.5535
0.521,0.44025,0.3895,0.3585,0.3425,0.33575,0.34975,0.408,0.50025,0.5835,0.664,0.70225,0.7035,0.69675,0.68425,0.67875,0.699,0.70225,0.67825,0.6585,0.63175,0.61975,0.589,0.5535
0.521,0.44025,0.3895,0.3585,0.3425,0.33575,0.34975,0.408,0.50025,0.5835,0.664,0.70225,0.7035,0.69675,0.68425,0.67875,0.699,0.70225,0.67825,0.6585,0.63175,0.61975,0.589,0.5535
0.521,0.44025,0.3895,0.3585,0.3425,0.33575,0.34975,0.408,0.50025,0.5835,0.664,0.70225,0.7035,0.69675,0.68425,0.67875,0.699,0.70225,0.67825,0.6585,0.63175,0.61975,0.589,0.5535
0.521,0.44025,0.3895,0.3585,0.3425,0.33575,0.34975,0.408,0.50025,0.5835,0.664,0.70225,0.7035,0.69675,0.68425,0.67875,0.699,0.70225,0.67825,0.6585,0.63175,0.61975,0.589,0.5535
0.521,0.44025,0.3895,0.3585,0.3425,0.33575,0.34975,0.408,0.50025,0.5835,0.664,0.70225,0.7035,0.69675,0.68425,0.67875,0.699,0.70225,0.67825,0.6585,0.63175,0.61975,0.589,0.5535
0.521,0.44025,0.3895,0.3585,0.3425,0.33575,0.34975,0.408,0.50025,0.5835,0.664,0.70225,0.7035,0.69675,0.68425,0.67875,0.699,0.70225,0.67825,0.6585,0.63175,0.61975,0.589,0.5535
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.521,0.44025,0.3895,0.3585,0.3425,0.33575,0.34975,0.408,0.50025,0.5835,0.664,0.70225,0.7035,0.69675,0.68425,0.67875,0.699,0.70225,0.67825,0.6585,0.63175,0.61975,0.589,0.5535
0.521,0.44025,0.3895,0.3585,0.3425,0.33575,0.34975,0.408,0.50025,0.5835,0.664,0.70225,0.7035,0.69675,0.68425,0.67875,0.699,0.70225,0.67825,0.6585,0.63175,0.61975,0.589,0.5535
0.521,0.44025,0.3895,0.3585,0.3425,0.33575,0.34975,0.408,0.50025,0.5835,0.664,0.70225,0.7035,0.69675,0.68425,0.67875,0.699,0.70225,0.67825,0.6585,0.63175,0.61975,0.589,0.5535
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.521,0.44025,0.3895,0.3585,0.3425,0.33575,0.34975,0.408,0.50025,0.5835,0.664,0.70225,0.7035,0.69675,0.68425,0.67875,0.699,0.70225,0.67825,0.6585,0.63175,0.61975,0.589,0.5535
0.521,0.44025,0.3895,0.3585,0.3425,0.33575,0.34975,0.408,0.50025,0.5835,0.664,0.70225,0.7035,0.69675,0.68425,0.67875,0.699,0.70225,0.67825,0.6585,0.63175,0.61975,0.589,0.5535
0.521,0.44025,0.3895,0.3585,0.3425,0.33575,0.34975,0.408,0.50025,0.5835,0.664,0.70225,0.7035,0.69675,0.68425,0.67875,0.699,0.70225,0.67825,0.6585,0.63175,0.61975,0.589,0.5535
0.521,0.44025,0.3895,0.3585,0.3425,0.33575,0.34975,0.408,0.50025,0.5835,0.664,0.70225,0.7035,0.69675,0.68425,0.67875,0.699,0.70225,0.67825,0.6585,0.63175,0.61975,0.589,0.5535
0.521,0.44025,0.3895,0.3585,0.3425,0.33575,0.34975,0.408,0.50025,0.5835,0.664,0.70225,0.7035,0.69675,0.68425,0.67875,0.699,0.70225,0.67825,0.6585,0.63175,0.61975,0.589,0.5535
0.521,0.44025,0.3895,0.3585,0.3425,0.33575,0.34975,0.408,0.50025,0.5835,0.664,0.70225,0.7035,0.69675,0.68425,0.67875,0.699,0.70225,0.67825,0.6585,0.63175,0.61975,0.589,0.5535
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.521,0.44025,0.3895,0.3585,0.3425,0.33575,0.34975,0.408,0.50025,0.5835,0.664,0.70225,0.7035,0.69675,0.68425,0.67875,0.699,0.70225,0.67825,0.6585,0.63175,0.61975,0.589,0.5535
0.521,0.44025,0.3895,0.3585,0.3425,0.33575,0.34975,0.408,0.50025,0.5835,0.664,0.70225,0.7035,0.69675,0.68425,0.67875,0.699,0.70225,0.67825,0.6585,0.63175,0.61975,0.589,0.5535
0.521,0.44025,0.3895,0.3585,0.3425,0.33575,0.34975,0.408,0.50025,0.5835,0.664,0.70225,0.7035,0.69675,0.68425,0.67875,0.699,0.70225,0.67825,0.6585,0.63175,0.61975,0.589,0.5535
0.521,0.44025,0.3895,0.3585,0.3425,0.33575,0.34975,0.408,0.50025,0.5835,0.664,0.70225,0.7035,0.69675,0.68425,0.67875,0.699,0.70225,0.67825,0.6585,0.63175,0.61975,0.589,0.5535
0.521,0.44025,0.3895,0.3585,0.3425,0.33575,0.34975,0.408,0.50025,0.5835,0.664,0.70225,0.7035,0.69675,0.68425,0.67875,0.699,0.70225,0.67825,0.6585,0.63175,0.61975,0.589,0.5535
0.521,0.44025,0.3895,0.3585,0.3425,0.33575,0.34975,0.408,0.50025,0.5835,0.664,0.70225,0.7035,0.69675,0.68425,0.67875,0.699,0.70225,0.67825,0.6585,0.63175,0.61975,0.589,0.5535
0.521,0.44025,0.3895,0.3585,0.3425,0.33575,0.34975,0.408,0.50025,0.5835,0.664,0.70225,0.7035,0.69675,0.68425,0.67875,0.699,0.70225,0.67825,0.6585,0.63175,0.61975,0.589,0.5535
0.521,0.44025,0.3895,0.3585,0.3425,0.33575,0.34975,0.408,0.50025,0.5835,0.664,0.70225,0.7035,0.69675,0.68425,0.67875,0.699,0.70225,0.67825,0.6585,0.63175,0.61975,0.589,0.5535
0.521,0.44025,0.3895,0.3585,0.3425,0.33575,0.34975,0.408,0.50025,0.5835,0.664,0.70225,0.7035,0.69675,0.68425,0.67875,0.699,0.70225,0.67825,0.6585,0.63175,0.61975,0.589,0.5535
0.521,0.44025,0.3895,0.3585,0.3425,0.33575,0.34975,0.408,0.50025,0.5835,0.664,0.70225,0.7035,0.69675,0.68425,0.67875,0.699,0.70225,0.67825,0.6585,0.63175,0.61975,0.589,0.5535
0.521,0.44025,0.3895,0.3585,0.3425,0.33575,0.34975,0.408,0.50025,0.5835,0.664,0.70225,0.7035,0.69675,0.68425,0.67875,0.699,0.70225,0.67825,0.6585,0.63175,0.61975,0.589,0.5535
0.521,0.44025,0.3895,0.3585,0.3425,0.33575,0.34975,0.408,0.50025,0.5835,0.664,0.70225,0.7035,0.69675,0.68425,0.67875,0.699,0.70225,0.67825,0.6585,0.63175,0.61975,0.589,0.5535
0.521,0.44025,0.3895,0.3585,0.3425,0.33575,0.34975,0.408,0.50025,0.5835,0.664,0.70225,0.7035,0.69675,0.68425,0.67875,0.699,0.70225,0.67825,0.6585,0.63175,0.61975,0.589,0.5535
0.521,0.44025,0.3895,0.3585,0.3425,0.33575,0.34975,0.408,0.50025,0.5835,0.664,0.70225,0.7035,0.69675,0.68425,0.67875,0.699,0.70225,0.67825,0.6585,0.63175,0.61975,0.589,0.5535
0.521,0.44025,0.3895,0.3585,0.3425,0.33575,0.34975,0.408,0.50025,0.5835,0.664,0.70225,0.7035,0.69675,0.68425,0.67875,0.699,0.70225,0.67825,0.6585,0.63175,0.61975,0.589,0.5535
0.521,0.44025,0.3895,0.3585,0.3425,0.33575,0.34975,0.408,0.50025,0.5835,0.664,0.70225,0.7035,0.69675,0.68425,0.67875,0.699,0.70225,0.67825,0.6585,0.63175,0.61975,0.589,0.5535
0.521,0.44025,0.3895,0.3585,0.3425,0.33575,0.34975,0.408,0.50025,0.5835,0.664,0.70225,0.7035,0.69675,0.68425,0.67875,0.699,0.70225,0.67825,0.6585,0.63175,0.61975,0.589,0.5535
0.521,0.44025,0.3895,0.3585,0.3425,0.33575,0.34975,0.408,0.50025,0.5835,0.664,0.70225,0.7035,0.69675,0.68425,0.67875,0.699,0.70225,0.67825,0.6585,0.63175,0.61975,0.589,0.5535
0.521,0.44025,0.3895,0.3585,0.3425,0.33575,0.34975,0.408,0.50025,0.5835,0.664,0.70225,0.7035,0.69675,0.68425,0.67875,0.699,0.70225,0.67825,0.6585,0.63175,0.61975,0.589,0.5535
0.521,0.44025,0.3895,0.3585,0.3425,0.33575,0.34975,0.408,0.50025,0.5835,0.664,0.70225,0.7035,0.69675,0.68425,0.67875,0.699,0.70225,0.67825,0.6585,0.63175,0.61975,0.589,0.5535
0.521,0.44025,0.3895,0.3585,0.3425,0.33575,0.34975,0.408,0.50025,0.5835,0.664,0.70225,0.7035,0.69675,0.68425,0.67875,0.699,0.70225,0.67825,0.6585,0.63175,0.61975,0.589,0.5535
0.521,0.44025,0.3895,0.3585,0.3425,0.33575,0.34975,0.408,0.50025,0.5835,0.664,0.70225,0.7035,0.69675,0.68425,0.67875,0.699,0.70225,0.67825,0.6585,0.63175,0.61975,0.589,0.5535
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.521,0.44025,0.3895,0.3585,0.3425,0.33575,0.34975,0.408,0.50025,0.5835,0.664,0.70225,0.7035,0.69675,0.68425,0.67875,0.699,0.70225,0.67825,0.6585,0.63175,0.61975,0.589,0.5535
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.521,0.44025,0.3895,0.3585,0.3425,0.33575,0.34975,0.408,0.50025,0.5835,0.664,0.70225,0.7035,0.69675,0.68425,0.67875,0.699,0.70225,0.67825,0.6585,0.63175,0.61975,0.589,0.5535
0.521,0.44025,0.3895,0.3585,0.3425,0.33575,0.34975,0.408,0.50025,0.5835,0.664,0.70225,0.7035,0.69675,0.68425,0.67875,0.699,0.70225,0.67825,0.6585,0.63175,0.61975,0.589,0.5535
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.521,0.44025,0.3895,0.3585,0.3425,0.33575,0.34975,0.408,0.50025,0.5835,0.664,0.70225,0.7035,0.69675,0.68425,0.67875,0.699,0.70225,0.67825,0.6585,0.63175,0.61975,0.589,0.5535
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.521,0.44025,0.3895,0.3585,0.3425,0.33575,0.34975,0.408,0.50025,0.5835,0.664,0.70225,0.7035,0.69675,0.68425,0.67875,0.699,0.70225,0.67825,0.6585,0.63175,0.61975,0.589,0.5535
0.521,0.44025,0.3895,0.3585,0.3425,0.33575,0.34975,0.408,0.50025,0.5835,0.664,0.70225,0.7035,0.69675,0.68425,0.67875,0.699,0.70225,0.67825,0.6585,0.63175,0.61975,0.589,0.5535
0.521,0.44025,0.3895,0.3585,0.3425,0.33575,0.34975,0.408,0.50025,0.5835,0.664,0.70225,0.7035,0.69675,0.68425,0.67875,0.699,0.70225,0.67825,0.6585,0.63175,0.61975,0.589,0.5535
0.521,0.44025,0.3895,0.3585,0.3425,0.33575,0.34975,0.408,0.50025,0.5835,0.664,0.70225,0.7035,0.69675,0.68425,0.67875,0.699,0.70225,0.67825,0.6585,0.63175,0.61975,0.589,0.5535
0.521,0.44025,0.3895,0.3585,0.3425,0.33575,0.34975,0.408,0.50025,0.5835,0.664,0.70225,0.7035,0.69675,0.68425,0.67875,0.699,0.70225,0.67825,0.6585,0.63175,0.61975,0.589,0.5535
0.521,0.44025,0.3895,0.3585,0.3425,0.33575,0.34975,0.408,0.50025,0.5835,0.664,0.70225,0.7035,0.69675,0.68425,0.67875,0.699,0.70225,0.67825,0.6585,0.63175,0.61975,0.589,0.5535
0.521,0.44025,0.3895,0.3585,0.3425,0.33575,0.34975,0.408,0.50025,0.5835,0.664,0.70225,0.7035,0.69675,0.68425,0.67875,0.699,0.70225,0.67825,0.6585,0.63175,0.61975,0.589,0.5535
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.521,0.44025,0.3895,0.3585,0.3425,0.33575,0.34975,0.408,0.50025,0.5835,0.664,0.70225,0.7035,0.69675,0.68425,0.67875,0.699,0.70225,0.67825,0.6585,0.63175,0.61975,0.589,0.5535
0.521,0.44025,0.3895,0.3585,0.3425,0.33575,0.34975,0.408,0.50025,0.5835,0.664,0.70225,0.7035,0.69675,0.68425,0.67875,0.699,0.70225,0.67825,0.6585,0.63175,0.61975,0.589,0.5535
0.521,0.44025,0.3895,0.3585,0.3425,0.33575,0.34975,0.408,0.50025,0.5835,0.664,0.70225,0.7035,0.69675,0.68425,0.67875,0.699,0.70225,0.67825,0.6585,0.63175,0.61975,0.589,0.5535
0.521,0.44025,0.3895,0.3585,0.3425,0.33575,0.34975,0.408,0.50025,0.5835,0.664,0.70225,0.7035,0.69675,0.68425,0.67875,0.699,0.70225,0.67825,0.6585,0.63175,0.61975,0.589,0.5535
0.521,0.44025,0.3895,0.3585,0.3425,0.33575,0.34975,0.408,0.50025,0.5835,0.664,0.70225,0.7035,0.69675,0.68425,0.67875,0.699,0.70225,0.67825,0.6585,0.63175,0.61975,0.589,0.5535
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.521,0.44025,0.3895,0.3585,0.3425,0.33575,0.34975,0.408,0.50025,0.5835,0.664,0.70225,0.7035,0.69675,0.68425,0.67875,0.699,0.70225,0.67825,0.6585,0.63175,0.61975,0.589,0.5535
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.521,0.44025,0.3895,0.3585,0.3425,0.33575,0.34975,0.408,0.50025,0.5835,0.664,0.70225,0.7035,0.69675,0.68425,0.67875,0.699,0.70225,0.67825,0.6585,0.63175,0.61975,0.589,0.5535
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.521,0.44025,0.3895,0.3585,0.3425,0.33575,0.34975,0.408,0.50025,0.5835,0.664,0.70225,0.7035,0.69675,0.68425,0.67875,0.699,0.70225,0.67825,0.6585,0.63175,0.61975,0.589,0.5535
0.521,0.44025,0.3895,0.3585,0.3425,0.33575,0.34975,0.408,0.50025,0.5835,0.664,0.70225,0.7035,0.69675,0.68425,0.67875,0.699,0.70225,0.67825,0.6585,0.63175,0.61975,0.589,0.5535
0.521,0.44025,0.3895,0.3585,0.3425,0.33575,0.34975,0.408,0.50025,0.5835,0.664,0.70225,0.7035,0.69675,0.68425,0.67875,0.699,0.70225,0.67825,0.6585,0.63175,0.61975,0.589,0.5535
0.521,0.44025,0.3895,0.3585,0.3425,0.33575,0.34975,0.408,0.50025,0.5835,0.664,0.70225,0.7035,0.69675,0.68425,0.67875,0.699,0.70225,0.67825,0.6585,0.63175,0.61975,0.589,0.5535
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.521,0.44025,0.3895,0.3585,0.3425,0.33575,0.34975,0.408,0.50025,0.5835,0.664,0.70225,0.7035,0.69675,0.68425,0.67875,0.699,0.70225,0.67825,0.6585,0.63175,0.61975,0.589,0.5535
0.521,0.44025,0.3895,0.3585,0.3425,0.33575,0.34975,0.408,0.50025,0.5835,0.664,0.70225,0.7035,0.69675,0.68425,0.67875,0.699,0.70225,0.67825,0.6585,0.63175,0.61975,0.589,0.5535
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.521,0.44025,0.3895,0.3585,0.3425,0.33575,0.34975,0.408,0.50025,0.5835,0.664,0.70225,0.7035,0.69675,0.68425,0.67875,0.699,0.70225,0.67825,0.6585,0.63175,0.61975,0.589,0.5535
0.521,0.44025,0.3895,0.3585,0.3425,0.33575,0.34975,0.408,0.50025,0.5835,0.664,0.70225,0.7035,0.69675,0.68425,0.67875,0.699,0.70225,0.67825,0.6585,0.63175,0.61975,0.589,0.5535
0.521,0.44025,0.3895,0.3585,0.3425,0.33575,0.34975,0.408,0.50025,0.5835,0.664,0.70225,0.7035,0.69675,0.68425,0.67875,0.699,0.70225,0.67825,0.6585,0.63175,0.61975,0.589,0.5535
0.521,0.44025,0.3895,0.3585,0.3425,0.33575,0.34975,0.408,0.50025,0.5835,0.664,0.70225,0.7035,0.69675,0.68425,0.67875,0.699,0.70225,0.67825,0.6585,0.63175,0.61975,0.589,0.5535
0.521,0.44025,0.3895,0.3585,0.3425,0.33575,0.34975,0.408,0.50025,0.5835,0.664,0.70225,0.7035,0.69675,0.68425,0.67875,0.699,0.70225,0.67825,0.6585,0.63175,0.61975,0.589,0.5535
0.521,0.44025,0.3895,0.3585,0.3425,0.33575,0.34975,0.408,0.50025,0.5835,0.664,0.70225,0.7035,0.69675,0.68425,0.67875,0.699,0.70225,0.67825,0.6585,0.63175,0.61975,0.589,0.5535
0.521,0.44025,0.3895,0.3585,0.3425,0.33575,0.34975,0.408,0.50025,0.5835,0.664,0.70225,0.7035,0.69675,0.68425,0.67875,0.699,0.70225,0.67825,0.6585,0.63175,0.61975,0.589,0.5535
0.521,0.44025,0.3895,0.3585,0.3425,0.33575,0.34975,0.408,0.50025,0.5835,0.664,0.70225,0.7035,0.69675,0.68425,0.67875,0.699,0.70225,0.67825,0.6585,0.63175,0.61975,0.589,0.5535
0.521,0.44025,0.3895,0.3585,0.3425,0.33575,0.34975,0.408,0.50025,0.5835,0.664,0.70225,0.7035,0.69675,0.68425,0.67875,0.699,0.70225,0.67825,0.6585,0.63175,0.61975,0.589,0.5535
0.521,0.44025,0.3895,0.3585,0.3425,0.33575,0.34975,0.408,0.50025,0.5835,0.664,0.70225,0.7035,0.69675,0.68425,0.67875,0.699,0.70225,0.67825,0.6585,0.63175,0.61975,0.589,0.5535
0.521,0.44025,0.3895,0.3585,0.3425,0.33575,0.34975,0.408,0.50025,0.5835,0.664,0.70225,0.7035,0.69675,0.68425,0.67875,0.699,0.70225,0.67825,0.6585,0.63175,0.61975,0.589,0.5535
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.521,0.44025,0.3895,0.3585,0.3425,0.33575,0.34975,0.408,0.50025,0.5835,0.664,0.70225,0.7035,0.69675,0.68425,0.67875,0.699,0.70225,0.67825,0.6585,0.63175,0.61975,0.589,0.5535
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.521,0.44025,0.3895,0.3585,0.3425,0.33575,0.34975,0.408,0.50025,0.5835,0.664,0.70225,0.7035,0.69675,0.68425,0.67875,0.699,0.70225,0.67825,0.6585,0.63175,0.61975,0.589,0.5535
0.521,0.44025,0.3895,0.3585,0.3425,0.33575,0.34975,0.408,0.50025,0.5835,0.664,0.70225,0.7035,0.69675,0.68425,0.67875,0.699,0.70225,0.67825,0.6585,0.63175,0.61975,0.589,0.5535
0.521,0.44025,0.3895,0.3585,0.3425,0.33575,0.34975,0.408,0.50025,0.5835,0.664,0.70225,0.7035,0.69675,0.68425,0.67875,0.699,0.70225,0.67825,0.6585,0.63175,0.61975,0.589,0.5535
0.521,0.44025,0.3895,0.3585,0.3425,0.33575,0.34975,0.408,0.50025,0.5835,0.664,0.70225,0.7035,0.69675,0.68425,0.67875,0.699,0.70225,0.67825,0.6585,0.63175,0.61975,0.589,0.5535
0.521,0.44025,0.3895,0.3585,0.3425,0.33575,0.34975,0.408,0.50025,0.5835,0.664,0.70225,0.7035,0.69675,0.68425,0.67875,0.699,0.70225,0.67825,0.6585,0.63175,0.61975,0.589,0.5535
